"Exports and imports of goods and services, quarterly, Canada, (NAPCS 2017) (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 12-10-0134-01"
"Release date: 2023-02-28"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trade","Imports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022"
,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-metallic minerals","668","776","748","740","808","922","865","1,050","990","1,021","1,124","1,066","979","947","909","861","849","833","862","851","970","1,006","1,032","975","1,045","1,129","1,160","1,095","1,059","1,004","918","983","875","679","835","946","952","949","900","802","938","991","881","875"
"Metal and non-metallic mineral products","39,992","40,014","40,400","42,739","42,056","42,485","40,764","39,950","42,347","42,203","44,282","45,650","45,746","42,761","41,417","40,546","43,316","41,415","39,750","42,680","44,105","43,002","36,307","35,661","36,344","36,900","33,970","32,773","33,328","33,019","33,383","33,493","39,376","39,898","44,638","40,393","42,720","44,592","42,487","38,538","38,708","44,040","42,755","41,140"
"Intermediate metal products","26,379","26,134","26,238","29,550","28,443","29,278","27,169","26,741","29,650","29,142","30,825","31,906","32,799","29,695","27,891","27,436","30,101","27,957","26,504","29,074","30,604","28,985","21,508","20,843","21,624","22,212","19,949","18,764","18,974","19,013","19,582","20,157","26,659","30,765","32,228","25,844","28,463","29,469","27,900","23,847","23,997","28,218","26,960","25,821"
"Fabricated metal products","6,340","6,608","7,056","6,496","6,716","6,504","6,748","6,680","6,528","6,640","6,748","6,760","6,464","6,484","6,516","6,332","6,564","6,408","6,124","6,428","6,496","6,532","6,668","6,628","6,944","7,072","7,028","6,932","7,056","7,004","6,804","6,612","6,364","4,792","6,112","6,712","7,000","6,864","6,920","6,928","7,120","7,792","8,112","7,592"
"Non-metallic mineral products","4,227","4,215","4,335","4,119","4,247","4,495","4,543","4,519","4,399","4,523","4,659","4,639","4,543","4,487","4,475","4,391","4,323","4,347","4,283","4,295","4,567","4,611","4,822","4,830","4,682","4,462","4,387","4,255","4,211","4,075","4,015","3,955","3,863","3,148","3,644","4,347","4,491","4,818","4,694","4,746","4,690","4,930","4,874","4,374"
"Waste and scrap of metal and glass","3,033","3,051","2,759","2,605","2,623","2,247","2,203","1,923","1,883","1,951","2,131","2,439","2,159","2,111","2,379","2,259","2,419","2,571","2,634","2,826","2,502","2,710","2,682","2,710","2,478","2,558","2,038","2,266","2,530","2,402","2,498","2,358","2,462","1,960","2,853","3,041","2,653","3,117","2,788","2,937","2,857","2,985","2,801","3,209"
"Basic and industrial chemical, plastic and rubber products","36,007","33,379","34,347","33,284","34,877","34,856","37,363","37,910","36,324","39,691","39,128","39,113","39,235","39,585","40,893","41,013","40,680","39,670","41,639","39,454","41,100","42,243","41,086","40,946","41,051","44,698","42,482","40,013","41,850","41,255","42,509","42,748","44,771","38,926","41,609","42,586","42,207","45,633","43,509","44,325","49,009","49,902","48,569","47,769"
"Basic chemicals and industrial chemical products","22,355","19,831","20,503","19,851","21,319","21,399","23,710","24,320","22,657","25,628","24,832","24,924","25,773","25,668","27,348","27,361","27,139","25,772","27,891","25,002","26,122","27,792","26,212","25,662","25,856","29,677","27,470","24,876","26,739","26,283","27,559","27,889","30,316","26,872","26,261","26,264","26,563","29,906","27,861","28,752","32,673","32,677","32,420","32,587"
"Plastic and rubber products","13,546","13,442","13,742","13,339","13,448","13,350","13,537","13,456","13,522","13,970","14,172","14,067","13,465","13,834","13,654","13,744","13,627","13,799","13,887","14,257","14,801","14,463","14,705","15,034","14,967","14,976","14,857","14,853","14,929","14,779","14,830","14,766","14,550","12,243","14,945","15,752","15,188","15,498","15,297","15,290","16,185","16,989","15,980","15,112"
"Waste and scrap of plastic and rubber","109","105","101","93","101","97","121","162","137","121","125","133","133","154","149","149","157","137","105","101","93","85","93","85","81","85","89","85","89","89","89","93","97","97","101","125","130","113","109","105","101","117","101","85"
"Forestry products and building and packaging materials","20,038","20,510","20,742","19,838","20,510","20,028","20,332","20,641","20,101","20,718","20,854","20,448","20,561","20,675","20,349","20,359","20,300","19,906","19,684","19,856","20,153","20,414","21,037","21,011","20,777","20,999","21,105","20,546","20,667","20,731","20,473","20,179","19,791","17,993","20,124","21,783","22,252","22,033","21,724","21,605","21,173","22,626","22,134","21,041"
"Logs, pulpwood and other forestry products","295","303","287","295","291","299","287","295","275","287","267","267","307","291","311","311","299","259","299","275","283","247","243","271","259","331","291","279","303","267","279","283","267","211","263","251","231","251","243","231","223","219","211","203"
"Pulp and paper","2,613","2,521","2,581","2,581","2,589","2,641","2,573","2,553","2,621","2,697","2,681","2,613","2,793","2,933","2,845","2,941","2,577","2,573","2,529","2,497","2,529","2,549","2,577","2,501","2,501","2,521","2,741","2,677","2,633","2,553","2,541","2,517","2,473","2,345","2,285","2,521","2,533","2,473","2,417","2,377","2,481","2,645","2,637","2,473"
