"REF_DATE","GEO","DGUID","Prices","Seasonal adjustment","Trade","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","675456","","","","0"
"2019-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","674642","","","","0"
"2019-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","666376","","","","0"
"2020-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","662746","","","","0"
"2020-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","519753","","","","0"
"2020-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","622934","","","","0"
"2020-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","639894","","","","0"
"2021-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","653290","","","","0"
"2021-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","653984","","","","0"
"2021-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","648976","","","","0"
"2021-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","679773","","","","0"
"2022-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","682041","","","","0"
"2022-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","724709","","","","0"
"2022-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","721505","","","","0"
"2022-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods and services","Dollars","81","millions","6","v1014909614","1.1.1.2.1","698762","","","","0"
"2012-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","472932","","","","0"
"2012-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","474004","","","","0"
"2012-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","477900","","","","0"
"2012-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","475852","","","","0"
"2013-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","482748","","","","0"
"2013-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","488594","","","","0"
"2013-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","486768","","","","0"
"2013-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","488450","","","","0"
"2014-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","484076","","","","0"
"2014-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","500657","","","","0"
"2014-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","503480","","","","0"
"2014-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","508185","","","","0"
"2015-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","504566","","","","0"
"2015-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","502920","","","","0"
"2015-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","497313","","","","0"
"2015-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","497170","","","","0"
"2016-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","498588","","","","0"
"2016-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","498591","","","","0"
"2016-07","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","506135","","","","0"
"2016-10","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","493572","","","","0"
"2017-01","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","514237","","","","0"
"2017-04","Canada","2016A000011124","Chained (2012) dollars","Seasonally adjusted at annual rates","Imports","Total goods","Dollars","81","millions","6","v1014909615","1.1.1.2.2","525501","","","","0"
